id,nombre,pm,categoria,semaforo,carga,situacion,estrategia,created_at,categorias,audiencia_genero,audiencia_edad,audiencia_pais
01018858-aa35-4f27-83d7-c66dba6201a1,Crystal Molly,Zazil,Gamer,verde,muchas campañas,"Identidad sólida, comunidad comprometida y perfil altamente reconocible. Conecta rápido con marcas.",Campañas grandes y creativas. Colaboraciones premium. Potenciar storytelling y branding personal.,2026-05-21T02:23:45.28106+00:00,"[""Belleza"", ""Entretenimiento"", ""Foodies"", ""Gaming"", ""Geek""]",,,
08a8ad14-24bf-4caa-b615-1ce03f1e7ce9,Haruki,Glo,Gamer/Lifestyle,rojo,pocas campañas,Baja considerable en engagement. Línea de contenido dispersa. Pilares de comunicación no bien definidos.,"Construir línea clara alrededor de salud mental, anime y One Piece. Retomar streams.",2026-05-21T02:23:45.28106+00:00,"[""Belleza"", ""Comedia"", ""Cosplay"", ""Entretenimiento"", ""Gaming"", ""Geek"", ""Moda"", ""Wellness""]",,,
0a7119d0-1048-4c54-b8d5-daf8c7a4fe63,Ansi,Leo,Gamer,amarillo,pocas campañas,"Constantemente activo pero se enfocó en impulsar imagen de cantante, limitando el match con marcas.","Recuperar pilares originales. Abrir espacios donde las marcas se sientan orgánicas: GRWM, clips.",2026-05-21T02:23:45.28106+00:00,"[""Arte"", ""Belleza"", ""Cosplay"", ""Entretenimiento"", ""Fitness"", ""Foodies"", ""Gaming"", ""Geek"", ""Lifestyle"", ""Tecnología"", ""Viajes""]",,,
0ba440b7-9e0b-4f2e-adde-848ab2c77cd6,Patty Meza,Zazil,Gamer,rojo,muchas campañas,"Necesita más constancia, diversificación y mayor presencia fuera del nicho gamer.","Retomar constancia en TikTok e historias. Diversificar hacia lifestyle, humor, beauty o tech.",2026-05-21T02:23:45.28106+00:00,"[""Gaming"", ""Lifestyle""]",,,
153349d9-57a2-4a5e-8b22-a2cbada4f1ee,Shoana,Sof,Lifestyle,verde,normal,Muy bien posicionada en belleza y maquillaje. Mucha creatividad y contenido siempre cuidado y profesional.,"Seguir impulsando campañas beauty. Expandir hacia skincare, fragancia y lifestyle premium.",2026-05-21T02:23:45.28106+00:00,"[""Belleza"", ""Lifestyle"", ""Moda""]",,,
158a5d28-0e81-401c-84b4-33dc01026510,Xim Bonis,Fer,Lifestyle,amarillo,talento nuevo,Talento nuevo en MOVDI.,Definir pilares de contenido y comenzar a construir historial de marcas.,2026-05-21T02:23:45.28106+00:00,"[""Lifestyle"", ""Belleza""]",,,
1a29487d-d5bd-4783-82cd-2a1656360e74,Valeria Rojas,Sof,Lifestyle,verde,muchas campañas,Probablemente una de las conexiones más fuertes con su comunidad del roster. Entiende el algoritmo perfectamente.,Aprovechar capacidad de integración orgánica para campañas de alta conversión. Colaboraciones de largo plazo.,2026-05-21T02:23:45.28106+00:00,"[""Belleza"", ""Lifestyle"", ""Moda"", ""Viajes""]",,,
1b00b819-ed23-44d4-9c16-49a68b61c89d,Anita Nuñez,Sof,Lifestyle,amarillo,muchas campañas,"Funciona muy bien en foodie, experiencias y beauty. Personalidad hace que las recomendaciones no se vean forzadas.","Elevar storytelling y producción de experiencias. Restaurantes, hoteles, viajes, wellness.",2026-05-21T02:23:45.28106+00:00,"[""Foodies"", ""Lifestyle"", ""Viajes"", ""Wellness""]",,,
1b4b3399-6bfe-4144-8cf4-6ddea9198eca,Caprimint,Leo,Gamer,amarillo,pocas campañas,"Sumamente activo, contenido variado. Activación constante con marcas gamer. Impulsar lifestyle y beauty.",Integrar nuevo enfoque dentro de lo que ya hace. Datos curiosos — gran acierto para llegar a marcas distintas.,2026-05-21T02:23:45.28106+00:00,"[""Arte"", ""Belleza"", ""Entretenimiento"", ""Fitness"", ""Gaming"", ""Geek"", ""Lifestyle"", ""Tecnología"", ""Viajes""]",78.3% M / 21.7% H,18-24,México 42.5%
1dc135e7-42c6-44f5-93fb-133628b5564a,Alliegue,Isaac,Gamer,rojo,pocas campañas,Estuvo inactivo por un periodo largo. Ya volvió a generar contenido IRL pero sin hilo claro todavía.,Darle un eje recurrente al contenido IRL. Clips de CoD solos no hacen el trabajo en TikTok o IG.,2026-05-21T02:23:45.28106+00:00,"[""Gaming""]",,,
23dd709e-9c2a-42a2-86f1-cad6123b4504,Creador 150,Demian,Gamer,amarillo,casi nada,"100% gaming, especialmente LoL. Potencial para explotar más su conexión con la música.",Definir nichos fuera del gaming. Explorar otros títulos para mostrar versatilidad.,2026-05-21T02:23:45.28106+00:00,"[""Entretenimiento"", ""Gaming""]",,,
